,股價指數,外銷訂單指數,貨幣總計數 M2B,工業及服務業受僱員工淨進入率,核發建照面積,半導體設備進口值,工業生產指數,電力(企業)總用電量,製造業銷售量指數,批發、零售及餐飲業營業額(十億元),非農業部門就業人數,海關出口值,機械及電機設備進口值,勞工薪資,失業率,重貼現率,擔保放款融通利率,短期融通利率,外匯存底
,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較
1985/11/1,4.33%,-3.32%,1.46%,0.46,-25.70%,,,5.46%,0.46%,,0.24%,1.41%,,-0.01%,,,,,
1985/12/1,4.80%,5.58%,2.16%,0.22,35.99%,,,-8.74%,10.69%,,1.61%,-2.50%,,8.03%,,,,,
1986/1/1,5.94%,11.11%,5.77%,0.73,-17.67%,,,2.48%,0.62%,,1.81%,18.90%,,16.88%,,,,,
1986/2/1,7.83%,-20.61%,7.58%,-1.25,-26.71%,,,-5.19%,-23.78%,,-3.27%,-26.94%,,-4.42%,,,,,
1986/3/1,4.12%,31.95%,-1.85%,0.76,36.45%,,,-3.65%,49.69%,,-0.37%,29.56%,,-13.68%,,,,,
1986/4/1,-5.31%,-2.33%,1.76%,-0.43,10.24%,,,23.11%,-16.10%,,1.71%,4.42%,,-0.19%,,,,,
1986/5/1,0.55%,7.63%,2.10%,0.01,0.73%,,,0.31%,6.12%,,1.56%,-1.10%,,1.02%,,,,,
1986/6/1,6.23%,-4.32%,3.52%,0.59,12.43%,,,9.20%,-0.47%,,1.63%,6.07%,,1.83%,,,,,
1986/7/1,0.51%,5.21%,3.98%,1,-3.35%,,,16.85%,3.59%,,1.29%,6.84%,,1.53%,,,,,
1986/8/1,-8.70%,1.32%,4.17%,-1.92,-5.02%,,,-17.55%,0.26%,,-0.21%,0.17%,,-2.25%,,,,,
1986/9/1,3.36%,-4.78%,3.78%,-0.34,0.16%,,,2.33%,-2.19%,,-0.25%,-13.35%,,1.33%,,,,,
1986/10/1,6.83%,13.00%,3.54%,0.55,-4.11%,,,-2.28%,5.17%,,1.70%,19.43%,,-0.63%,,,,,
1986/11/1,2.54%,-1.51%,3.32%,-0.09,74.76%,,,4.08%,-2.63%,,-0.02%,-1.02%,,-0.87%,,,,,
1986/12/1,0.20%,-0.20%,4.58%,0.43,-22.87%,,,-4.48%,11.86%,,1.38%,-4.48%,,9.44%,,,,,
1987/1/1,10.08%,-3.39%,7.91%,-0.11,6.12%,,,-8.50%,-8.91%,,1.08%,-11.42%,,50.70%,,,,,
1987/2/1,9.16%,-1.17%,2.24%,-0.78,-40.27%,,,-6.09%,-9.50%,,-1.42%,13.92%,,-38.68%,,,,,
1987/3/1,7.89%,13.12%,0.34%,0.16,45.36%,,,17.41%,19.36%,,-0.83%,5.43%,,3.06%,,,,,
1987/4/1,21.95%,6.84%,3.03%,0.13,24.89%,,,4.07%,1.07%,,-0.08%,5.60%,,-0.22%,,,,,
1987/5/1,13.38%,-4.98%,2.45%,0.24,-21.39%,,,0.84%,0.32%,,1.55%,-4.24%,,2.47%,,,,,
1987/6/1,-4.30%,2.25%,2.15%,0.75,10.55%,,,5.82%,0.29%,,2.15%,8.15%,,-0.43%,,,,,
1987/7/1,7.03%,-1.74%,2.65%,2.86,0.72%,,,4.19%,0.00%,,0.25%,-11.00%,,3.73%,,,,,
1987/8/1,31.97%,-4.01%,0.76%,-3.96,-1.01%,,,3.02%,0.35%,,0.71%,9.28%,,-0.88%,,,,,
1987/9/1,45.47%,3.50%,2.41%,-0.43,-9.09%,,,-6.59%,-2.15%,,-0.84%,1.79%,,1.85%,,,,,
1987/10/1,0.64%,-1.50%,3.76%,0.79,11.85%,,,-1.83%,-0.68%,,0.53%,-16.90%,,0.52%,,,,,
1987/11/1,-24.40%,-0.10%,3.34%,-0.29,-21.61%,,,1.60%,-0.72%,,0.46%,20.82%,,-1.99%,,,,,
1987/12/1,-2.43%,1.81%,4.40%,0.41,41.01%,,,-4.19%,9.47%,,0.39%,-12.94%,,8.50%,,,,,
1988/1/1,-1.40%,-3.84%,1.91%,0.13,-7.82%,,,-5.46%,-6.04%,,0.94%,3.88%,,6.53%,,,,,
1988/2/1,22.83%,-7.89%,3.55%,-1.19,-30.62%,,,-4.34%,-14.06%,,-1.77%,-12.24%,-14.97%,37.81%,,,,,
1988/3/1,4.33%,19.34%,-1.43%,0.72,8.88%,,,0.00%,20.75%,,-1.31%,5.58%,27.62%,-34.39%,,,,,
1988/4/1,12.61%,1.42%,1.14%,0.17,13.00%,,,14.20%,-0.14%,,0.31%,6.42%,-1.69%,-0.05%,,,,,
1988/5/1,17.89%,-2.53%,3.13%,0.03,11.84%,,,8.73%,1.10%,,0.56%,11.77%,-1.66%,1.16%,,,,,
1988/6/1,11.46%,-1.70%,2.79%,0.27,-3.71%,,,-0.73%,-0.31%,,1.05%,-1.84%,2.96%,3.08%,,,,,
1988/7/1,9.51%,-1.00%,1.47%,3.62,-0.76%,,,5.88%,-0.76%,,1.08%,-0.79%,5.29%,3.75%,,,,,
1988/8/1,35.60%,-0.64%,0.41%,-4.2,11.15%,,,3.47%,1.18%,,0.46%,8.76%,4.44%,-2.30%,,,,,
1988/9/1,9.34%,-2.13%,2.37%,-0.79,-19.60%,,,-8.05%,-2.81%,,-0.04%,-20.96%,-24.95%,4.03%,,,,,
1988/10/1,-18.14%,8.05%,0.68%,0.63,-5.92%,,,-4.38%,-1.18%,,1.07%,21.08%,26.42%,-2.42%,,,,,
1988/11/1,4.12%,-2.45%,3.65%,0.42,41.67%,,,5.60%,3.34%,,1.35%,-1.21%,6.23%,0.21%,,,,,
1988/12/1,-14.52%,4.31%,2.22%,0.16,0.00%,,,-3.37%,8.14%,,0.18%,-7.24%,-7.34%,8.69%,,,,,
1989/1/1,-2.39%,-1.21%,4.08%,-0.34,-0.64%,,,-6.73%,-4.05%,,0.39%,4.44%,4.76%,44.32%,,,,,
1989/2/1,16.84%,-14.39%,3.52%,-0.81,-41.39%,,,-16.04%,-22.08%,,-1.26%,-24.30%,-23.29%,-15.09%,,,,,
