,股價指數,外銷訂單指數,貨幣總計數 M2B,工業及服務業受僱員工淨進入率,核發建照面積,半導體設備進口值,工業生產指數,電力(企業)總用電量,製造業銷售量指數,批發、零售及餐飲業營業額(十億元),非農業部門就業人數,海關出口值,機械及電機設備進口值,勞工薪資,失業率,重貼現率,擔保放款融通利率,短期融通利率,外匯存底
,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較
2003/6/1,12.76%,1.15%,1.58%,0.26,6.74%,,-2.17%,2.85%,0.19%,3.87%,0.17%,3.06%,17.20%,-1.32%,,0.00%,0.00%,0.00%,
2003/7/1,8.56%,4.66%,2.48%,0.51,32.21%,,6.61%,6.33%,5.66%,5.80%,0.53%,-0.18%,3.69%,1.41%,,-15.38%,-12.50%,-6.45%,
2003/8/1,3.03%,-0.84%,2.08%,-0.35,-20.04%,,-0.36%,0.63%,-0.78%,0.25%,0.27%,6.04%,-0.80%,2.11%,,0.00%,0.00%,0.00%,1.90%
2003/9/1,4.28%,6.71%,2.13%,-0.03,4.41%,,-0.88%,2.39%,1.01%,2.56%,-0.28%,1.39%,4.45%,2.46%,,0.00%,0.00%,0.00%,2.64%
2003/10/1,4.58%,5.39%,1.79%,0.27,13.42%,,7.25%,-5.67%,8.42%,3.50%,0.37%,2.52%,4.84%,-5.85%,,0.00%,0.00%,0.00%,3.16%
2003/11/1,0.20%,-6.21%,0.85%,-0.16,-1.41%,,-3.06%,-5.16%,-4.16%,-1.14%,0.50%,6.32%,10.84%,-0.40%,,0.00%,0.00%,0.00%,3.16%
2003/12/1,-1.66%,3.12%,1.18%,0.04,30.93%,,7.39%,3.51%,6.24%,4.67%,0.41%,1.85%,1.14%,13.85%,,0.00%,0.00%,0.00%,1.87%
2004/1/1,6.54%,-12.44%,6.18%,-0.67,-5.73%,,-14.35%,-13.02%,-12.93%,-3.94%,0.29%,-15.98%,-17.66%,74.83%,,0.00%,0.00%,0.00%,4.02%
2004/2/1,4.46%,6.76%,1.49%,0.49,-22.00%,,6.58%,-1.38%,5.00%,-4.34%,-0.04%,9.97%,15.47%,-47.87%,,0.00%,0.00%,0.00%,4.59%
2004/3/1,2.21%,13.95%,0.98%,0.11,46.87%,,10.45%,21.05%,10.02%,5.64%,0.37%,11.73%,12.66%,-1.59%,,0.00%,0.00%,0.00%,0.77%
2004/4/1,0.12%,3.43%,0.97%,0,-7.17%,,-3.08%,-3.48%,-1.35%,-0.38%,0.22%,-5.36%,-13.36%,-0.54%,,0.00%,0.00%,0.00%,0.50%
2004/5/1,-11.31%,-4.05%,-0.26%,0.07,3.97%,,1.84%,0.87%,-0.58%,0.53%,0.41%,12.46%,5.93%,0.27%,,0.00%,0.00%,0.00%,0.59%
2004/6/1,-2.60%,2.95%,-1.15%,0.22,-1.75%,,-1.70%,11.36%,-0.84%,1.12%,0.33%,-6.70%,2.24%,2.86%,,0.00%,0.00%,0.00%,0.48%
2004/7/1,-3.54%,3.96%,1.45%,0.37,30.09%,,0.09%,-2.92%,0.43%,0.74%,0.47%,1.36%,-1.09%,-0.25%,,0.00%,0.00%,0.00%,0.13%
2004/8/1,-1.01%,-3.27%,1.26%,-0.84,-26.23%,,-1.01%,2.50%,-0.96%,-0.31%,0.13%,1.70%,5.29%,3.07%,,0.00%,0.00%,0.00%,0.53%
2004/9/1,6.69%,7.36%,1.06%,-0.36,5.35%,,0.06%,1.07%,-0.14%,2.92%,-0.48%,0.87%,0.69%,-2.31%,,0.00%,0.00%,0.00%,0.60%
2004/10/1,0.32%,3.02%,-0.03%,0.43,1.34%,,2.13%,-7.44%,1.99%,2.68%,0.57%,2.89%,8.11%,-3.47%,,18.18%,14.29%,6.90%,0.87%
2004/11/1,0.00%,-3.45%,0.13%,-0.05,5.53%,,-0.67%,-1.67%,-2.07%,-0.42%,0.42%,-1.12%,-2.33%,-0.71%,,0.00%,0.00%,0.00%,1.74%
2004/12/1,1.39%,0.56%,1.57%,-0.05,21.76%,,0.98%,3.40%,0.53%,1.38%,0.25%,-6.85%,-9.49%,11.04%,,0.00%,0.00%,0.00%,1.09%
2005/1/1,-0.82%,-6.62%,1.26%,0.08,-22.47%,,-0.83%,-12.53%,4.04%,0.71%,0.27%,2.56%,2.89%,52.32%,,7.69%,6.25%,3.23%,0.41%
2005/2/1,3.09%,-12.71%,2.43%,-0.63,-32.87%,,-18.43%,-14.44%,-21.11%,-14.90%,-0.22%,-25.09%,-26.94%,-14.50%,,0.00%,0.00%,0.00%,1.60%
2005/3/1,0.05%,28.36%,-0.67%,0.46,65.14%,,27.65%,36.21%,30.51%,17.86%,0.06%,32.39%,38.37%,-29.69%,,0.00%,0.00%,0.00%,1.83%
2005/4/1,-3.74%,0.41%,-1.03%,0.09,-20.57%,,-3.22%,-6.55%,-4.32%,-3.18%,0.19%,0.93%,-9.64%,-0.77%,,7.14%,5.88%,3.13%,0.60%
2005/5/1,0.92%,-5.45%,-0.44%,-0.02,19.71%,,0.77%,10.99%,-0.10%,-1.20%,0.14%,3.52%,8.13%,0.48%,,0.00%,0.00%,0.00%,0.21%
2005/6/1,4.91%,6.04%,0.00%,0.13,4.01%,,-0.09%,1.65%,1.90%,2.27%,0.10%,-8.95%,-7.89%,2.63%,,0.00%,0.00%,0.00%,0.18%
2005/7/1,1.83%,-2.05%,1.94%,0.61,-4.78%,,-1.93%,-4.20%,-2.75%,0.10%,0.28%,5.39%,6.83%,-0.76%,,6.67%,5.56%,3.03%,-0.02%
2005/8/1,-1.44%,10.07%,1.17%,-0.57,-8.10%,,4.88%,11.37%,6.21%,1.26%,0.40%,2.93%,-2.83%,3.12%,,0.00%,0.00%,0.00%,0.21%
2005/9/1,-2.83%,7.49%,-0.13%,-0.32,12.20%,,-0.67%,-4.66%,1.28%,2.84%,-0.20%,4.59%,4.23%,-1.62%,,0.00%,0.00%,0.00%,-0.13%
2005/10/1,-3.08%,4.35%,-0.90%,0.28,-19.08%,,2.22%,-6.38%,0.31%,0.99%,0.52%,13.08%,9.14%,-4.29%,,6.25%,5.26%,2.94%,-0.69%
2005/11/1,2.47%,0.84%,0.19%,-0.02,30.63%,,-0.46%,4.61%,0.76%,1.80%,0.40%,-2.97%,0.52%,0.01%,,0.00%,0.00%,0.00%,-0.09%
2005/12/1,5.84%,0.23%,2.65%,-0.07,-8.13%,,1.63%,-7.96%,0.98%,1.43%,0.17%,-0.95%,-12.22%,10.75%,,0.00%,0.00%,0.00%,0.60%
2006/1/1,3.64%,-10.87%,3.00%,-0.06,7.75%,,-4.61%,-8.54%,-4.12%,-2.23%,0.11%,-9.06%,-6.28%,92.25%,,5.88%,5.00%,2.86%,1.58%
2006/2/1,0.08%,-8.29%,-0.23%,-0.28,-45.49%,15.92%,-8.96%,-2.96%,-11.82%,-9.01%,-0.31%,-9.24%,12.90%,-51.31%,,0.00%,0.00%,0.00%,-0.12%
2006/3/1,-1.71%,22.66%,-1.91%,0.34,73.04%,21.92%,19.15%,23.47%,21.47%,11.23%,0.24%,17.18%,4.13%,-2.26%,,0.00%,0.00%,0.00%,0.03%
2006/4/1,6.77%,-2.06%,0.09%,-0.07,-18.08%,-8.99%,-4.50%,-8.46%,-4.54%,-2.04%,0.20%,5.42%,-2.66%,0.90%,,5.56%,4.76%,2.78%,0.77%
2006/5/1,2.62%,-2.32%,1.10%,0.11,9.15%,12.18%,3.03%,9.03%,2.37%,-0.05%,0.16%,-1.81%,1.72%,2.35%,,0.00%,0.00%,0.00%,0.73%
2006/6/1,-8.07%,1.15%,-1.75%,0.07,24.26%,6.49%,-2.37%,15.71%,-1.15%,3.75%,0.13%,-2.85%,-3.61%,-1.95%,,0.00%,0.00%,0.00%,-0.23%
2006/7/1,-0.67%,-3.72%,-0.08%,0.45,9.76%,18.54%,-0.16%,-19.75%,-2.55%,-0.19%,0.62%,9.28%,16.33%,0.55%,,5.26%,4.55%,2.70%,0.01%
2006/8/1,0.74%,7.95%,0.82%,-0.38,-42.72%,-22.28%,3.09%,20.92%,5.23%,-1.48%,0.37%,-0.49%,-10.26%,3.71%,,0.00%,0.00%,0.00%,0.25%
2006/9/1,3.51%,1.24%,1.75%,-0.32,14.16%,-2.74%,-2.58%,-10.86%,-4.45%,2.72%,-0.17%,4.08%,-1.50%,-3.21%,,0.00%,0.00%,0.00%,0.20%
2006/10/1,3.64%,3.44%,0.22%,0.1,-12.74%,1.11%,0.14%,2.28%,1.71%,0.87%,0.34%,-0.70%,6.53%,-0.88%,,5.00%,4.35%,2.63%,0.10%
2006/11/1,3.39%,-0.17%,0.11%,0.04,24.61%,14.96%,-0.18%,-0.28%,1.24%,1.67%,0.30%,-1.64%,1.26%,-1.94%,,0.00%,0.00%,0.00%,1.27%
2006/12/1,5.00%,-2.86%,2.21%,-0.04,-3.71%,-1.22%,-1.00%,-6.90%,-3.51%,1.27%,0.27%,-0.73%,-11.85%,9.44%,,0.00%,0.00%,0.00%,0.38%
2007/1/1,2.42%,-1.01%,2.10%,0.02,2.76%,-20.55%,2.76%,1.30%,5.03%,-0.21%,0.17%,1.20%,7.42%,15.19%,,4.76%,4.17%,2.56%,-0.07%
2007/2/1,0.04%,-15.28%,2.55%,-0.46,-24.02%,-27.32%,-18.79%,-16.91%,-20.70%,-12.66%,0.02%,-24.45%,-25.62%,52.89%,,0.00%,0.00%,0.00%,0.76%
2007/3/1,-1.65%,27.17%,-1.12%,0.49,19.52%,67.03%,26.62%,18.93%,29.61%,12.71%,-0.02%,33.08%,29.97%,-47.04%,,0.00%,0.00%,0.00%,-0.19%
2007/4/1,3.94%,-2.99%,0.13%,-0.21,-8.19%,8.27%,-1.39%,0.00%,-2.60%,-1.95%,0.05%,0.63%,8.50%,-0.41%,,4.55%,4.00%,2.50%,-0.36%
2007/5/1,1.19%,-0.68%,-0.41%,0.18,31.85%,3.44%,6.37%,16.22%,5.95%,2.18%,0.18%,-0.71%,-5.10%,2.66%,,0.00%,0.00%,0.00%,-0.32%
2007/6/1,6.10%,3.95%,-0.92%,-0.06,-15.20%,32.88%,-2.39%,-5.86%,-2.50%,0.43%,-0.01%,2.26%,-0.94%,0.82%,,0.00%,0.00%,0.00%,0.13%
2007/7/1,9.07%,3.83%,1.40%,0.89,13.69%,1.28%,4.39%,5.95%,4.41%,4.20%,0.57%,4.57%,17.67%,1.69%,,8.70%,7.69%,4.88%,0.09%
2007/8/1,-6.42%,1.92%,0.34%,-0.78,-13.96%,-15.91%,0.57%,3.11%,0.77%,-0.36%,0.30%,0.55%,-10.31%,-0.15%,,0.00%,0.00%,0.00%,-1.85%
2007/9/1,3.56%,0.86%,-0.33%,-0.31,-22.18%,-22.90%,-4.06%,-8.54%,-2.58%,-0.23%,-0.47%,4.57%,-1.99%,2.91%,,0.00%,0.00%,0.00%,0.60%
2007/10/1,5.91%,3.58%,-0.46%,0.34,38.77%,-7.90%,8.36%,6.04%,8.06%,4.03%,0.09%,1.57%,-1.17%,-6.89%,,4.00%,3.57%,2.33%,1.13%
2007/11/1,-8.38%,-1.49%,-1.14%,0.03,13.62%,-14.08%,-3.01%,-5.79%,-3.25%,-2.46%,0.35%,-4.60%,-3.03%,-0.35%,,0.00%,0.00%,0.00%,1.57%
2007/12/1,-5.58%,-2.35%,-0.98%,-0.02,12.12%,54.49%,-0.18%,-5.96%,-1.26%,4.56%,0.37%,7.11%,8.74%,11.02%,,0.00%,0.00%,0.00%,0.08%
2008/1/1,-4.65%,-1.95%,0.71%,-0.15,-14.51%,-1.61%,1.31%,5.85%,3.26%,2.54%,0.15%,-5.58%,2.46%,49.58%,,3.85%,3.45%,2.27%,0.93%
2008/2/1,0.96%,-15.01%,0.95%,-0.46,-48.48%,-32.65%,-15.36%,-17.50%,-15.89%,-15.19%,-0.42%,-21.24%,-26.82%,-9.33%,,0.00%,0.00%,0.00%,1.84%
2008/3/1,5.51%,20.68%,-0.71%,0.6,30.72%,53.18%,18.81%,15.40%,19.57%,11.92%,0.29%,32.98%,42.43%,-32.44%,,0.00%,0.00%,0.00%,3.25%
2008/4/1,5.19%,-1.08%,-0.09%,-0.18,12.73%,-26.59%,-0.11%,10.83%,-1.10%,-0.85%,0.15%,-8.89%,-11.96%,-0.20%,,3.70%,3.33%,2.22%,0.88%
2008/5/1,0.36%,-2.23%,0.12%,0.04,3.58%,-31.23%,1.26%,-1.48%,0.03%,1.69%,0.22%,5.34%,-12.83%,0.90%,,0.00%,0.00%,0.00%,0.24%
2008/6/1,-8.19%,-1.78%,-2.84%,0.13,0.77%,18.40%,-2.97%,12.05%,-2.42%,-1.76%,0.03%,2.64%,15.01%,1.54%,,0.00%,0.00%,0.00%,0.46%
2008/7/1,-12.86%,-0.37%,-1.44%,0.46,-21.46%,-11.51%,1.79%,-16.05%,0.08%,1.51%,0.25%,-5.82%,-3.99%,3.67%,,3.57%,3.23%,2.17%,-0.17%
2008/8/1,-0.80%,5.31%,0.81%,-0.64,10.96%,-10.27%,-0.32%,6.03%,-2.64%,-0.23%,0.31%,11.62%,0.65%,-2.99%,,0.00%,0.00%,0.00%,-3.03%
2008/9/1,-12.26%,1.04%,0.11%,-0.34,-15.62%,19.71%,-5.95%,10.48%,-3.89%,-2.05%,-0.63%,-10.63%,-2.08%,-0.25%,,0.00%,0.00%,0.00%,-0.34%
2008/10/1,-18.71%,-0.55%,0.40%,-0.1,-3.56%,-29.60%,-5.41%,-15.92%,-1.71%,-0.83%,0.15%,-3.53%,-5.28%,-4.30%,,-10.34%,-9.38%,-6.38%,-1.06%
2008/11/1,-10.57%,-20.48%,-0.62%,-0.33,4.07%,-7.84%,-19.24%,-14.24%,-19.47%,-10.65%,-0.17%,-17.08%,-8.10%,-3.54%,,-15.38%,-13.79%,-9.09%,0.91%
2008/12/1,-0.31%,-5.91%,0.45%,-0.66,-15.27%,-21.36%,-5.63%,3.90%,-2.18%,-1.54%,-0.62%,-18.07%,-17.68%,9.78%,,-27.27%,-24.00%,-15.00%,3.93%
2009/1/1,-0.47%,-13.95%,4.78%,-0.05,-8.22%,-7.52%,-16.49%,-27.68%,-9.02%,-0.61%,-0.49%,-9.98%,-26.64%,62.62%,,-25.00%,-21.05%,-11.76%,0.33%
2009/2/1,0.04%,15.02%,1.87%,0.56,-40.14%,-12.46%,8.64%,35.91%,10.27%,-4.43%,-0.74%,4.43%,30.04%,-39.56%,,0.00%,0.00%,0.00%,0.52%
2009/3/1,10.03%,20.20%,1.92%,0.53,32.41%,19.06%,19.85%,2.95%,13.64%,8.10%,-0.05%,26.24%,17.65%,-6.25%,,-16.67%,-13.33%,-6.67%,2.02%
2009/4/1,16.20%,3.93%,3.76%,0.11,22.20%,-22.52%,8.03%,1.80%,4.39%,1.73%,0.00%,-7.51%,-5.81%,0.84%,,0.00%,0.00%,0.00%,1.51%
2009/5/1,15.06%,-0.26%,3.28%,0.08,-35.36%,29.76%,4.99%,-3.85%,-0.76%,-0.97%,0.14%,7.69%,-2.02%,2.10%,,0.00%,0.00%,0.00%,2.62%
2009/6/1,-1.37%,9.73%,0.68%,0.38,32.37%,78.07%,5.94%,21.13%,8.78%,6.56%,0.07%,3.23%,20.52%,-3.81%,,0.00%,0.00%,0.00%,1.57%
2009/7/1,5.22%,1.73%,1.59%,0.17,35.07%,-5.80%,5.38%,4.83%,3.68%,3.65%,0.11%,2.39%,-1.14%,3.75%,,0.00%,0.00%,0.00%,1.11%
2009/8/1,0.31%,-3.20%,2.08%,-0.04,8.70%,6.36%,-1.30%,-9.39%,-4.66%,0.39%,0.24%,9.62%,6.54%,-0.31%,,0.00%,0.00%,0.00%,1.35%
2009/9/1,6.78%,8.09%,1.23%,-0.12,-15.04%,-5.47%,4.39%,11.58%,2.78%,0.75%,-0.11%,0.51%,5.67%,2.56%,,0.00%,0.00%,0.00%,2.10%
2009/10/1,3.66%,3.03%,2.15%,0,44.53%,58.43%,1.43%,-8.44%,0.08%,2.19%,0.28%,2.11%,0.31%,-1.77%,,0.00%,0.00%,0.00%,2.70%
2009/11/1,0.30%,-2.38%,1.73%,0.16,-20.50%,3.23%,-0.11%,-7.00%,0.53%,-1.80%,0.64%,1.21%,11.58%,-1.96%,,0.00%,0.00%,0.00%,1.75%
2009/12/1,2.96%,1.10%,1.77%,-0.02,44.51%,-7.31%,5.97%,7.93%,6.67%,2.77%,0.13%,-0.57%,-6.06%,9.56%,,0.00%,0.00%,0.00%,0.29%
2010/1/1,3.34%,-5.38%,1.44%,-0.07,-34.19%,-11.62%,-3.65%,-11.29%,-3.78%,-5.26%,0.10%,7.95%,2.05%,25.65%,,0.00%,0.00%,0.00%,0.72%
2010/2/1,-8.24%,-9.90%,1.15%,-0.58,10.36%,2.51%,-11.81%,-9.11%,-16.40%,-7.60%,-0.19%,-23.02%,-14.11%,25.01%,,0.00%,0.00%,0.00%,0.58%
2010/3/1,4.62%,24.19%,-1.08%,0.82,56.96%,75.86%,22.18%,31.44%,28.80%,12.30%,0.08%,39.65%,39.90%,-39.41%,,0.00%,0.00%,0.00%,0.65%
2010/4/1,3.56%,-2.19%,0.66%,-0.21,-16.26%,-16.86%,0.91%,-8.49%,0.43%,0.39%,0.32%,-7.13%,-11.02%,-1.21%,,0.00%,0.00%,0.00%,0.71%
2010/5/1,-6.53%,-0.56%,0.42%,0.02,12.42%,0.56%,2.39%,4.55%,-1.05%,0.51%,0.44%,15.99%,7.69%,2.16%,,0.00%,0.00%,0.00%,0.72%
2010/6/1,-1.90%,2.62%,-0.58%,-0.07,-1.58%,-8.77%,1.38%,7.79%,0.15%,2.55%,0.27%,-8.53%,-1.90%,1.08%,,0.00%,0.00%,0.00%,0.63%
2010/7/1,3.47%,-0.80%,0.93%,0.63,-10.27%,5.39%,2.81%,-0.17%,2.48%,2.42%,0.58%,4.46%,3.00%,-0.08%,,10.00%,7.69%,3.57%,2.13%
2010/8/1,3.21%,2.50%,1.89%,-0.74,20.57%,11.62%,-2.59%,1.18%,-1.90%,-2.17%,0.36%,0.36%,9.58%,-2.80%,,0.00%,0.00%,0.00%,0.53%
2010/9/1,1.98%,2.75%,1.10%,0.01,-11.97%,5.48%,-3.49%,3.24%,-2.84%,1.35%,-0.42%,-6.87%,-2.51%,6.59%,,0.00%,0.00%,0.00%,2.27%
2010/10/1,2.11%,-2.25%,0.24%,0.06,-0.36%,-13.27%,1.82%,-9.35%,1.80%,2.71%,0.25%,5.30%,-2.79%,-7.04%,,9.09%,7.14%,3.45%,0.88%
2010/11/1,1.71%,-0.79%,0.94%,0.13,5.34%,9.36%,3.89%,0.53%,2.97%,-3.33%,0.43%,-1.91%,-0.61%,-1.00%,,0.00%,0.00%,0.00%,-1.19%
2010/12/1,5.11%,1.51%,1.38%,-0.15,34.63%,-6.60%,3.76%,4.16%,4.68%,2.78%,0.10%,-2.36%,-5.08%,11.94%,,0.00%,0.00%,0.00%,0.73%
2011/1/1,2.21%,-7.13%,1.99%,-0.13,-6.83%,-9.78%,-3.25%,-12.22%,-1.22%,1.37%,0.15%,2.81%,2.50%,86.79%,,8.33%,6.67%,3.33%,1.34%
2011/2/1,-2.54%,-17.53%,1.19%,-0.22,-52.18%,-4.15%,-14.89%,-12.67%,-18.71%,-14.39%,-0.18%,-16.53%,-17.86%,-44.71%,,0.00%,0.00%,0.00%,0.92%
2011/3/1,-1.92%,32.78%,-1.25%,0.57,84.03%,20.74%,22.25%,33.78%,29.00%,15.07%,0.31%,30.02%,28.93%,-10.88%,,0.00%,0.00%,0.00%,0.50%
2011/4/1,3.34%,-5.24%,-0.31%,-0.3,-0.20%,-27.94%,-4.43%,-10.84%,-6.21%,-1.97%,0.16%,-1.02%,-13.87%,-0.28%,,7.69%,6.25%,3.23%,1.76%
2011/5/1,0.56%,0.62%,0.26%,0.18,-16.96%,61.15%,2.74%,11.05%,-0.64%,0.18%,0.26%,0.40%,17.73%,3.24%,,0.00%,0.00%,0.00%,-0.22%
2011/6/1,-1.82%,-0.04%,-0.52%,0.03,24.06%,-32.05%,-2.14%,3.76%,-0.38%,3.42%,0.24%,-9.32%,-9.49%,-0.87%,,0.00%,0.00%,0.00%,0.41%
2011/7/1,-0.78%,0.62%,0.50%,0.47,-22.18%,-24.24%,0.98%,-5.16%,1.47%,1.31%,0.53%,11.92%,-1.58%,2.14%,,7.14%,5.88%,3.13%,0.11%
2011/8/1,-10.57%,-2.41%,1.73%,-0.69,17.37%,-19.13%,-2.12%,13.59%,-2.26%,-2.94%,0.30%,-8.07%,-4.76%,-0.65%,,0.00%,0.00%,0.00%,-0.12%
2011/9/1,-4.87%,1.30%,0.02%,-0.18,-1.38%,-2.13%,-5.84%,-10.32%,-2.56%,1.31%,-0.30%,-3.25%,-4.52%,2.16%,,0.00%,0.00%,0.00%,-2.78%
2011/10/1,-0.54%,1.84%,-0.87%,0.17,-11.32%,7.64%,3.16%,-4.42%,-1.95%,1.27%,0.13%,14.18%,8.00%,-6.17%,,0.00%,0.00%,0.00%,1.07%
2011/11/1,-0.95%,-0.62%,0.08%,0.02,14.53%,11.30%,-4.11%,4.62%,-0.07%,-5.80%,0.20%,-9.88%,-4.46%,-1.84%,,0.00%,0.00%,0.00%,-1.36%
2011/12/1,-4.21%,-0.06%,0.69%,-0.02,40.98%,18.83%,-0.30%,-8.17%,1.26%,2.37%,0.13%,-1.89%,-4.37%,14.47%,,0.00%,0.00%,0.00%,-0.62%
2012/1/1,2.98%,-14.10%,2.33%,-0.26,-31.59%,-17.50%,-8.35%,-3.00%,-11.59%,-5.02%,0.05%,-12.75%,-3.84%,83.50%,,0.00%,0.00%,0.00%,1.23%
2012/2/1,9.46%,6.99%,0.19%,0.09,-27.82%,-0.94%,7.74%,-15.54%,9.34%,-2.11%,-0.15%,9.53%,-3.10%,-49.72%,,0.00%,0.00%,0.00%,1.06%
2012/3/1,2.09%,12.62%,-0.64%,0.17,67.87%,25.16%,12.42%,36.81%,12.63%,6.34%,0.14%,11.92%,11.97%,-1.84%,,0.00%,0.00%,0.00%,-0.14%
2012/4/1,-4.98%,-5.99%,-0.03%,-0.14,-25.68%,7.97%,-3.29%,-8.75%,-5.21%,-2.09%,0.13%,-3.19%,-0.64%,0.25%,,0.00%,0.00%,0.00%,0.30%
2012/5/1,-3.46%,2.28%,-0.25%,0.13,25.71%,13.40%,3.35%,15.19%,3.03%,4.77%,0.19%,1.71%,2.48%,1.08%,,0.00%,0.00%,0.00%,-1.47%
2012/6/1,-2.91%,1.88%,-0.57%,0.01,-0.04%,18.91%,-5.53%,-10.41%,-5.09%,0.04%,0.17%,-5.04%,-3.38%,2.27%,,0.00%,0.00%,0.00%,0.50%
2012/7/1,0.62%,-0.69%,0.21%,0.33,-24.97%,-16.16%,4.97%,8.52%,4.47%,1.92%,0.26%,3.39%,15.44%,-1.12%,,0.00%,0.00%,0.00%,-0.03%
2012/8/1,3.10%,0.00%,1.58%,-0.38,8.26%,-6.64%,0.89%,2.06%,0.32%,-1.95%,0.18%,-1.38%,-15.22%,-1.57%,,0.00%,0.00%,0.00%,0.80%
2012/9/1,2.70%,3.27%,0.62%,-0.11,-7.53%,-24.35%,-3.99%,-10.96%,-3.57%,0.39%,-0.20%,9.65%,-1.36%,4.92%,,0.00%,0.00%,0.00%,0.94%
2012/10/1,-2.26%,2.19%,-0.65%,0.05,21.33%,-8.24%,2.70%,9.60%,2.36%,1.33%,0.17%,-4.58%,0.00%,-6.59%,,0.00%,0.00%,0.00%,0.32%
2012/11/1,-2.45%,6.79%,0.16%,0.03,18.42%,0.12%,-1.87%,-9.00%,-0.60%,-3.19%,0.17%,-6.54%,-8.22%,-2.16%,,0.00%,0.00%,0.00%,0.44%
2012/12/1,5.17%,-3.29%,1.91%,0.07,-6.84%,38.63%,-1.98%,-9.54%,-2.90%,1.43%,0.13%,4.58%,7.77%,19.19%,,0.00%,0.00%,0.00%,0.55%
2013/1/1,1.68%,-5.78%,1.42%,-0.07,25.22%,1.31%,4.49%,15.18%,7.02%,1.61%,0.05%,-1.95%,11.67%,26.48%,,0.00%,0.00%,0.00%,0.84%
2013/2/1,2.24%,-21.78%,1.82%,-0.37,-39.43%,-11.04%,-17.85%,-23.34%,-23.37%,-14.92%,-0.18%,-22.22%,-27.64%,3.80%,,0.00%,0.00%,0.00%,-0.61%
2013/3/1,-0.33%,23.81%,-0.30%,0.48,14.14%,32.74%,22.44%,22.78%,23.86%,13.96%,0.05%,40.10%,42.91%,-33.54%,,0.00%,0.00%,0.00%,-0.54%
2013/4/1,-0.18%,0.10%,-0.31%,-0.13,42.09%,-30.11%,-2.12%,3.66%,-0.82%,-2.70%,0.07%,-7.36%,-7.68%,0.73%,,0.00%,0.00%,0.00%,0.82%
2013/5/1,4.80%,2.62%,0.99%,0.06,3.56%,76.90%,4.96%,7.75%,4.46%,3.22%,0.13%,5.60%,7.85%,1.13%,,0.00%,0.00%,0.00%,0.35%
2013/6/1,-3.42%,-3.33%,0.22%,-0.02,-30.52%,-16.58%,-3.43%,4.47%,-6.00%,1.03%,0.18%,0.07%,0.85%,1.07%,,0.00%,0.00%,0.00%,0.00%
2013/7/1,1.41%,3.24%,0.90%,0.59,12.03%,-37.11%,5.51%,-1.99%,4.67%,2.12%,0.21%,-3.91%,-6.05%,0.99%,,0.00%,0.00%,0.00%,0.62%
2013/8/1,-2.10%,0.60%,1.29%,-0.51,28.88%,1.55%,-1.92%,0.23%,0.76%,-2.44%,0.16%,0.62%,-13.09%,-1.86%,,0.00%,0.00%,0.00%,0.07%
2013/9/1,3.29%,5.21%,0.38%,-0.11,-1.85%,35.38%,-4.18%,-4.51%,-5.17%,2.90%,-0.17%,-1.55%,13.54%,2.05%,,0.00%,0.00%,0.00%,0.79%
2013/10/1,2.11%,2.96%,-0.17%,0.09,5.37%,-16.66%,2.63%,0.08%,4.72%,1.26%,0.16%,4.21%,-3.48%,-2.68%,,0.00%,0.00%,0.00%,0.72%
2013/11/1,-1.54%,4.08%,0.41%,0.09,-35.57%,19.29%,-2.26%,-5.86%,-2.00%,-2.79%,0.20%,-3.22%,-4.76%,-1.41%,,0.00%,0.00%,0.00%,-0.01%
2013/12/1,2.36%,3.26%,1.58%,-0.18,53.01%,55.36%,3.45%,-2.42%,3.23%,3.98%,0.08%,2.49%,20.02%,12.01%,,0.00%,0.00%,0.00%,0.30%
2014/1/1,1.61%,-14.75%,2.76%,-0.01,-7.03%,-46.11%,-4.10%,-1.42%,-3.16%,-0.41%,0.04%,-6.34%,-17.62%,90.56%,,0.00%,0.00%,0.00%,0.03%
2014/2/1,-0.83%,-14.92%,0.62%,-0.13,-29.14%,14.60%,-10.39%,-10.34%,-15.31%,-15.57%,-0.14%,-12.02%,-6.57%,-52.71%,,0.00%,0.00%,0.00%,0.25%
2014/3/1,2.25%,24.07%,-0.08%,0.27,26.50%,45.76%,17.69%,14.14%,20.35%,13.55%,0.07%,31.22%,37.00%,2.30%,,0.00%,0.00%,0.00%,0.29%
2014/4/1,2.45%,2.57%,-0.09%,-0.03,11.24%,-16.01%,-0.81%,2.64%,2.80%,0.48%,0.13%,-4.07%,-7.36%,-0.82%,,0.00%,0.00%,0.00%,0.55%
2014/5/1,0.40%,-2.38%,0.10%,0.01,-14.92%,-30.65%,4.26%,7.79%,1.21%,2.23%,0.14%,-0.37%,-8.41%,5.01%,,0.00%,0.00%,0.00%,0.04%
2014/6/1,3.28%,1.90%,-0.42%,-0.03,-3.66%,33.61%,-0.40%,-0.71%,-2.66%,1.20%,0.08%,0.57%,13.88%,-4.32%,,0.00%,0.00%,0.00%,0.43%
2014/7/1,2.65%,-1.77%,1.08%,0.6,12.79%,-1.98%,3.91%,5.12%,4.74%,0.85%,0.25%,-0.89%,-6.47%,7.81%,,0.00%,0.00%,0.00%,0.05%
