date,CPI,Salary,M1A(期底）金額,M1B(期底),M2(期底),準備貨幣（通貨淨額）,重貼現率,基準放款利率,連鎖實質值_GDP合計_金額(新台幣百萬元),連鎖實質值_國內需求_金額(新台幣百萬元),連鎖實質值_民間消費_金額(新台幣百萬元),連鎖實質值_政府消費_金額(新台幣百萬元),連鎖實質值_資本形成_金額(新台幣百萬元),連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),連鎖實質值_商品與服務輸入_金額(新台幣百萬元),道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC),深圳成指(SZSC1),日經指數(N225), 摩台指 ,美元指數(DXM8), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),半導體設備進口值(新台幣百萬元),工業生產指數(Index 2016=100),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),批發、零售及餐飲業營業額(十億元),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數,預測台股指數漲跌
2001/12/1,-0.0099,0.1083,0.1321,0.0992,0.017,0.0214,-0.0556,-0.0022,0,0,0,0,0,0,0,0,0.0265,0.0576,0.0135,0.0062,0,-0.0014,0,0,0.0554,-0.0004,-0.0134,0.0956,0.0059,0.6127,-0.0037,-0.17,-0.047,0,-0.0333,-0.0876,-0.0055,0.0138,0.0032,-0.1149,-0.217,-0.0094,0.2191,上升
2002/1/1,0.0081,0.304,-0.031,0.0194,0.0043,0.0417,0,-0.007,0.0209,0.0169,0.0078,-0.0261,0.0817,-0.0399,0.0298,0.0167,-0.0056,-0.0005,-0.0041,-0.1265,0,-0.0186,0,0,0.0136,0.0209,0.0168,-0.011,0.0094,0.0932,-0.0204,-0.08,0.2221,0,-0.011,-0.0208,-0.039,0.0315,0.0024,0.0134,0.0763,-0.0114,0.0899,持平
2002/2/1,0.0007,0.0356,0.0219,0.0187,0.0084,0.1158,0,0,0,0,0,0,0,0,0,0,-0.0033,-0.0896,-0.0347,0.029,0,-0.031,0,0,-0.0266,0.0514,0.052,-0.0177,0.0013,-0.677,-0.0035,-0.22,-0.042,0,0.0325,0.0053,0.0581,-0.0367,0.0036,-0.0437,-0.0448,-0.0153,0.0019,上升
2002/3/1,-0.0037,-0.3143,-0.0227,0.0049,0.0011,-0.0845,0,0,0,0,0,0,0,0,0,0,0.0617,0.0352,0.0483,0.0748,0,0.147,0,0,0.1087,-0.0076,0.1776,0.0752,-0.0015,1.6091,-0.1042,-0.11,-0.3457,0,-0.1767,-0.1805,-0.1902,-0.0753,-0.0026,-0.1722,-0.181,-0.0039,0.0539,持平
2002/4/1,0.0006,0.0095,-0.005,-0.0047,-0.005,-0.0341,0,0,0.0239,0.0245,0.0096,0.0323,0.0605,0.1165,0.064,0.0733,-0.032,-0.056,-0.0362,0.0053,0,-0.0056,0,0,-0.051,0.0324,0.0743,-0.0147,-0.0029,-0.1089,0.24,0.17,0.366,0,0.2957,0.2621,0.3188,0.1191,0.0002,0.4358,0.5815,0.0078,0.0332,下降
2002/5/1,-0.0034,0.0028,0.0011,-0.0128,-0.0058,-0.0148,0,0,0,0,0,0,0,0,0,0,-0.0083,-0.056,-0.0295,-0.0364,0,0.0286,0,0,-0.1042,0.0367,0.0265,-0.0105,-0.0135,-0.3406,0.0144,0.18,0.1745,0,0.0016,0.0293,-0.0114,-0.017,0.0023,-0.0545,-0.0707,-0.0349,-0.0879,下降
2002/6/1,-0.0004,0.0095,0.0633,0.0274,0.012,-0.0165,-0.1176,0,0,0,0,0,0,0,0,0,-0.0583,-0.0932,-0.0604,-0.0091,0,-0.0635,0,0,-0.1682,0.0207,-0.0522,-0.0477,-0.0163,-0.1854,0.0164,0.16,0.1928,0,0.0444,0.1374,0.0212,0.0076,0.0016,0.0013,-0.0787,0.008,-0.049,下降
2002/7/1,0.0026,-0.009,-0.0417,-0.0253,-0.0083,-0.0266,0,-0.0137,-0.003,0.0258,0.0103,-0.0291,0.1112,0.3386,0.0036,0.0656,-0.0923,-0.1059,-0.1089,0.0851,0,-0.056,0,0,-0.1482,-0.0244,0.0546,-0.0585,-0.0178,0.2114,-0.0621,0.46,-0.2552,0,-0.0591,-0.0675,-0.0576,0.0037,0.0011,0.0071,0.0534,0.0179,-0.0521,下降
2002/8/1,0.0009,0.0165,0.0232,0.0157,0.0032,0.0014,0,0,0,0,0,0,0,0,0,0,0.008,-0.0139,0.0099,-0.0207,0,-0.0581,0,0,-0.1046,-0.01,0.0468,-0.0798,0.0179,-0.1477,0.0146,0.84,0.5199,0,0.0405,0.0723,0.032,0.0197,0.0018,-0.0266,0.0708,0.0235,-0.0591,下降
2002/9/1,-0.0023,0.0045,-0.0124,-0.0148,-0.0045,-0.0006,0,0,0,0,0,0,0,0,0,0,-0.0604,-0.0575,-0.049,-0.0247,0,-0.0407,0,0,-0.1681,0.0305,0.0521,-0.0905,0.02,-0.2622,0.0355,0.28,-0.3141,0,0.0029,0.0109,0.0006,-0.0085,0.0005,-0.0171,-0.1902,0.0229,-0.0785,下降
